crop fb gr1 gr2 or ot sb sw ww
fb 0.000279384732733026 0.653049001470589 0 0.0336764542480399 0.106568522308525 0.0640650872806282 0.119406669608337 0.0229548803511478
gr1 0 0 1 0 0 0 0 0
gr2 0 0 1 0 0 0 0 0
or 0 0 0 0 0 0.333333333333333 0 0.666666666666667
ot 0.0999999999999999 0.5 0 0.1 0.2 0 0 0.1
sb 0 0.666666666666667 0 0.333333333333333 0 0 0 0
sw 0 0 0 0.333333333333333 0.333333333333333 0 0.333333333333334 0
ww 0 0.5 0 0 0 0.5 0 0
